Back to Contents,Data 1: Retail
Sourcekey,EMM_EPMR_PTE_NUS_DPG
Date,Weekly U.S. Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon)
1998-11-30 00:00:00,0.974
1998-12-07 00:00:00,0.954
1998-12-14 00:00:00,0.945
1998-12-21 00:00:00,0.944
1998-12-28 00:00:00,0.937
1999-01-04 00:00:00,0.935
1999-01-11 00:00:00,0.941
1999-01-18 00:00:00,0.944
1999-01-25 00:00:00,0.936
1999-02-01 00:00:00,0.929
1999-02-08 00:00:00,0.927
1999-02-15 00:00:00,0.919
1999-02-22 00:00:00,0.907
1999-03-01 00:00:00,0.913
1999-03-08 00:00:00,0.921
1999-03-15 00:00:00,0.977
1999-03-22 00:00:00,1.017
1999-03-29 00:00:00,1.082
1999-04-05 00:00:00,1.118
1999-04-12 00:00:00,1.14
1999-04-19 00:00:00,1.135
1999-04-26 00:00:00,1.131
1999-05-03 00:00:00,1.136
1999-05-10 00:00:00,1.14
1999-05-17 00:00:00,1.14
1999-05-24 00:00:00,1.126
1999-05-31 00:00:00,1.111
1999-06-07 00:00:00,1.112
1999-06-14 00:00:00,1.108
1999-06-21 00:00:00,1.124
1999-06-28 00:00:00,1.113
1999-07-05 00:00:00,1.125
1999-07-12 00:00:00,1.143
1999-07-19 00:00:00,1.169
1999-07-26 00:00:00,1.193
1999-08-02 00:00:00,1.195
1999-08-09 00:00:00,1.206
1999-08-16 00:00:00,1.236
1999-08-23 00:00:00,1.234
1999-08-30 00:00:00,1.233
1999-09-06 00:00:00,1.242
1999-09-13 00:00:00,1.25
1999-09-20 00:00:00,1.268
1999-09-27 00:00:00,1.262
1999-10-04 00:00:00,1.255
1999-10-11 00:00:00,1.249
1999-10-18 00:00:00,1.236
1999-10-25 00:00:00,1.237
1999-11-01 00:00:00,1.23
1999-11-08 00:00:00,1.233
1999-11-15 00:00:00,1.251
1999-11-22 00:00:00,1.269
1999-11-29 00:00:00,1.274
1999-12-06 00:00:00,1.273
1999-12-13 00:00:00,1.275
1999-12-20 00:00:00,1.269
1999-12-27 00:00:00,1.273
2000-01-03 00:00:00,1.272
2000-01-10 00:00:00,1.264
2000-01-17 00:00:00,1.277
2000-01-24 00:00:00,1.315
2000-01-31 00:00:00,1.316
2000-02-07 00:00:00,1.325
2000-02-14 00:00:00,1.356
2000-02-21 00:00:00,1.406
2000-02-28 00:00:00,1.421
2000-03-06 00:00:00,1.501
2000-03-13 00:00:00,1.527
2000-03-20 00:00:00,1.529
2000-03-27 00:00:00,1.508
2000-04-03 00:00:00,1.503
2000-04-10 00:00:00,1.475
2000-04-17 00:00:00,1.444
2000-04-24 00:00:00,1.437
2000-05-01 00:00:00,1.42
2000-05-08 00:00:00,1.455
2000-05-15 00:00:00,1.492
2000-05-22 00:00:00,1.527
2000-05-29 00:00:00,1.54
2000-06-05 00:00:00,1.563
2000-06-12 00:00:00,1.631
2000-06-19 00:00:00,1.681
2000-06-26 00:00:00,1.658
2000-07-03 00:00:00,1.625
2000-07-10 00:00:00,1.593
2000-07-17 00:00:00,1.546
2000-07-24 00:00:00,1.52
2000-07-31 00:00:00,1.471
2000-08-07 00:00:00,1.462
2000-08-14 00:00:00,1.447
2000-08-21 00:00:00,1.468
2000-08-28 00:00:00,1.481
2000-09-04 00:00:00,1.53
2000-09-11 00:00:00,1.561
2000-09-18 00:00:00,1.562
2000-09-25 00:00:00,1.548
2000-10-02 00:00:00,1.524
2000-10-09 00:00:00,1.502
2000-10-16 00:00:00,1.539
2000-10-23 00:00:00,1.551
2000-10-30 00:00:00,1.545
2000-11-06 00:00:00,1.526
2000-11-13 00:00:00,1.523
2000-11-20 00:00:00,1.51
2000-11-27 00:00:00,1.51
2000-12-04 00:00:00,1.486
2000-12-11 00:00:00,1.449
2000-12-18 00:00:00,1.422
2000-12-25 00:00:00,1.414
2001-01-01 00:00:00,1.406
2001-01-08 00:00:00,1.425
2001-01-15 00:00:00,1.474
2001-01-22 00:00:00,1.471
2001-01-29 00:00:00,1.46
2001-02-05 00:00:00,1.443
2001-02-12 00:00:00,1.476
2001-02-19 00:00:00,1.449
2001-02-26 00:00:00,1.431
2001-03-05 00:00:00,1.417
2001-03-12 00:00:00,1.412
2001-03-19 00:00:00,1.404
2001-03-26 00:00:00,1.404
2001-04-02 00:00:00,1.442
2001-04-09 00:00:00,1.5
2001-04-16 00:00:00,1.571
2001-04-23 00:00:00,1.619
2001-04-30 00:00:00,1.626
2001-05-07 00:00:00,1.703
2001-05-14 00:00:00,1.713
2001-05-21 00:00:00,1.687
2001-05-28 00:00:00,1.704
2001-06-04 00:00:00,1.679
